neg,neu,pos,compound
0.011,0.947,0.043,0.6597
0.032,0.948,0.02,-0.2732
0.032,0.948,0.02,-0.2732
0.017,0.86,0.123,0.9944
0.017,0.86,0.123,0.9944
0.057,0.75,0.192,0.9501
0.057,0.75,0.192,0.9501
0.053,0.828,0.118,0.9601
0.053,0.828,0.118,0.9601
0.076,0.836,0.088,0.6908
0.076,0.836,0.088,0.6908
0.017,0.942,0.041,0.4404
0.017,0.942,0.041,0.4404
0.137,0.787,0.076,-0.9485
0.137,0.787,0.076,-0.9485
0.048,0.867,0.085,0.7351
0.048,0.867,0.085,0.7351
0.014,0.864,0.123,0.9501
0.014,0.864,0.123,0.9501
0.056,0.811,0.133,0.8519
0.056,0.811,0.133,0.8519
0.035,0.724,0.241,0.9022
0.035,0.724,0.241,0.9022
0.145,0.805,0.049,-0.9968
0.145,0.805,0.049,-0.9968
0.019,0.943,0.038,0.3612
0.019,0.943,0.038,0.3612
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.024,0.915,0.061,0.7579
0.024,0.915,0.061,0.7579
0.0,0.861,0.139,0.91
0.0,0.861,0.139,0.91
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.035,0.848,0.116,0.8834
0.035,0.848,0.116,0.8834
0.216,0.643,0.14,-0.3182
0.216,0.643,0.14,-0.3182
0.0,0.945,0.055,0.3818
0.0,0.945,0.055,0.3818
0.063,0.895,0.042,-0.6808
0.063,0.895,0.042,-0.6808
0.074,0.884,0.042,-0.8176
0.074,0.884,0.042,-0.8176
0.0,0.768,0.232,0.9666
0.0,0.768,0.232,0.9666
0.0,0.839,0.161,0.3612
0.0,0.839,0.161,0.3612
0.0,0.815,0.185,0.3612
0.0,0.815,0.185,0.3612
0.162,0.694,0.145,-0.0772
0.162,0.694,0.145,-0.0772
0.079,0.808,0.113,0.6486
0.079,0.808,0.113,0.6486
0.051,0.892,0.057,0.1779
0.051,0.892,0.057,0.1779
0.0,0.815,0.185,0.3612
0.0,0.815,0.185,0.3612
0.0,0.951,0.049,0.6705
0.0,0.951,0.049,0.6705
0.041,0.858,0.1,0.4767
0.041,0.858,0.1,0.4767
0.06,0.857,0.083,0.25
0.06,0.857,0.083,0.25
0.051,0.901,0.048,-0.2023
0.051,0.901,0.048,-0.2023
0.014,0.954,0.031,0.34
0.014,0.954,0.031,0.34
0.062,0.806,0.132,0.9633
0.062,0.806,0.132,0.9633
0.159,0.802,0.038,-0.9607
0.159,0.802,0.038,-0.9607
0.368,0.632,0.0,-0.836
0.368,0.632,0.0,-0.836
0.111,0.69,0.199,0.7783
0.111,0.69,0.199,0.7783
0.042,0.878,0.08,0.8555
0.042,0.878,0.08,0.8555
0.17,0.724,0.105,-0.9393
0.17,0.724,0.105,-0.9393
0.056,0.886,0.058,-0.128
0.056,0.886,0.058,-0.128
0.11,0.693,0.197,0.7964
0.11,0.693,0.197,0.7964
0.042,0.935,0.023,-0.4588
0.042,0.935,0.023,-0.4588
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.076,0.848,0.076,-0.4404
0.076,0.848,0.076,-0.4404
0.051,0.794,0.155,0.9702
0.051,0.794,0.155,0.9702
0.155,0.816,0.029,-0.8603
0.155,0.816,0.029,-0.8603
0.085,0.783,0.132,0.872
0.085,0.783,0.132,0.872
0.149,0.808,0.043,-0.9774
0.149,0.808,0.043,-0.9774
0.054,0.833,0.113,0.8957
0.054,0.833,0.113,0.8957
0.049,0.86,0.091,0.8271
0.049,0.86,0.091,0.8271
0.012,0.925,0.063,0.7845
0.012,0.925,0.063,0.7845
0.06,0.813,0.127,0.886
0.06,0.813,0.127,0.886
0.134,0.794,0.072,-0.9779
0.134,0.794,0.072,-0.9779
0.028,0.816,0.157,0.9796
0.028,0.816,0.157,0.9796
0.0,0.948,0.052,0.8271
0.0,0.948,0.052,0.8271
0.122,0.74,0.138,0.743
0.122,0.74,0.138,0.743
0.0,0.847,0.153,0.7003
0.0,0.847,0.153,0.7003
0.071,0.745,0.183,0.5574
0.071,0.745,0.183,0.5574
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.061,0.819,0.12,0.9371
0.061,0.819,0.12,0.9371
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.105,0.865,0.031,-0.8957
0.105,0.865,0.031,-0.8957
0.028,0.874,0.098,0.9788
0.028,0.874,0.098,0.9788
0.097,0.859,0.044,-0.9274
0.097,0.859,0.044,-0.9274
0.181,0.819,0.0,-0.6486
0.181,0.819,0.0,-0.6486
0.081,0.822,0.097,0.3612
0.081,0.822,0.097,0.3612
0.146,0.748,0.106,-0.4767
0.146,0.748,0.106,-0.4767
0.017,0.888,0.095,0.8807
0.017,0.888,0.095,0.8807
0.039,0.935,0.026,-0.0516
